,DATE,Trip_ID,fare_amount,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,STATION,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
0,2009-01-01,1756779842,621.2,42.3647,-71.0542,42.3588,-71.0707,113,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",22.5,24,0.9,24,1023.0,24,21.1,24,10.0,24,9.1,24,17.1,33.0,28.0, ,18.0, ,0.0,G,999.9,0
1,2009-01-02,1578947277,739.55,42.3429,-71.1003,42.3429,-71.1003,113,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",27.2,24,16.9,24,1017.1,23,14.9,24,9.6,24,3.4,24,12.0,19.0,36.0, ,16.0, ,0.0,G,999.9,1000
2,2009-01-03,2355445751,935.7,42.3588,-71.0707,42.3661,-71.0631,147,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",34.1,24,18.3,24,1015.0,24,13.1,24,10.0,24,7.6,24,15.9,21.0,37.9, ,30.0, ,0.0,G,999.9,0
3,2009-01-04,2078662060,733.3,42.3519,-71.0551,42.3519,-71.0551,132,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",33.0,24,11.4,24,1020.1,24,18.2,24,10.0,24,4.0,24,7.0,999.9,42.1, ,25.0, ,0.0,G,999.9,0
4,2009-01-05,1929909985,550.95,42.3559,-71.055,42.3519,-71.0551,109,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",42.1,24,28.1,24,1015.5,23,13.6,24,10.0,24,3.4,24,8.0,999.9,48.0, ,37.9, ,0.0,G,999.9,10000
5,2009-01-06,1816139446,641.35,42.3398,-71.0892,42.3429,-71.1003,100,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",35.9,24,17.8,24,1016.8,21,14.5,24,8.9,24,3.2,24,7.0,999.9,42.1, ,32.0, ,0.0,G,999.9,10000
6,2009-01-07,1493008941,623.15,42.2148,-71.033,42.2148,-71.033,99,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",36.1,24,34.1,24,995.7,9,997.0,24,4.1,24,4.8,24,8.0,999.9,42.1, ,32.0, ,0.96,G,999.9,11000
7,2009-01-08,2622763326,782.35,42.3661,-71.0631,42.3661,-71.0631,170,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",38.0,24,24.3,24,997.9,22,995.3,24,9.5,24,11.5,24,15.9,31.1,42.1, ,33.1, ,0.97,G,999.9,10000
8,2009-01-09,2533545798,854.0,42.3519,-71.0551,42.3661,-71.0631,140,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",30.5,24,15.7,24,1014.7,24,12.7,24,10.0,24,9.3,24,13.0,20.0,35.1, ,28.0, ,0.0,G,999.9,0
9,2009-01-10,1913834504,726.8,42.3647,-71.0542,42.3661,-71.0631,115,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",30.0,24,20.2,24,1024.2,22,21.8,24,9.4,24,3.9,24,9.9,999.9,35.6,*,26.1,*,0.0,G,999.9,1000
10,2009-01-11,2152186496,775.2,42.3647,-71.0542,42.3588,-71.0707,143,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",32.0,24,26.1,24,1012.3,17,10.4,24,7.1,24,6.6,24,13.0,25.1,33.8,*,28.4,*,0.11,G,999.9,1000
11,2009-01-12,2269130202,748.95,42.3588,-71.0707,42.3505,-71.1054,134,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",27.5,24,15.9,24,1020.8,24,18.9,24,10.0,24,4.7,24,8.9,17.1,35.1, ,21.9, ,0.06,G,999.9,0
12,2009-01-13,2434054496,802.2,42.3429,-71.1003,42.2148,-71.033,118,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",27.9,24,22.1,24,1020.6,24,18.7,24,8.9,24,0.8,24,6.0,999.9,37.9,*,19.9,*,0.0,G,999.9,0
13,2009-01-14,2347829250,759.85,42.3398,-71.0892,42.3519,-71.0643,128,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",26.3,24,10.7,24,1016.4,24,14.4,24,9.1,24,7.7,24,17.1,27.0,35.1,*,19.9,*,0.0,G,999.9,0
14,2009-01-15,1951381723,828.5,42.3661,-71.0631,42.3519,-71.0643,120,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",22.5,24,10.3,24,1021.5,19,19.9,24,8.7,24,5.0,24,12.0,20.0,25.0,*,19.4,*,0.0,G,999.9,1000
15,2009-01-16,2627082934,953.4,42.3588,-71.0707,42.3505,-71.1054,154,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",15.3,24,-1.7,24,1033.0,24,31.0,24,10.0,24,7.4,24,11.1,19.0,19.9, ,12.0, ,0.0,G,999.9,0
16,2009-01-17,2513311674,827.75,42.2148,-71.033,42.2148,-71.033,172,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",12.0,24,-4.4,24,1034.5,24,32.6,24,10.0,24,3.7,24,7.0,999.9,19.0, ,3.0, ,0.0,G,999.9,0
17,2009-01-18,2482131008,707.3,42.3588,-71.0707,42.3519,-71.0643,165,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",28.4,24,14.3,24,1017.6,23,15.3,24,9.7,24,4.3,24,7.0,999.9,37.9, ,19.0, ,0.0,G,999.9,1000
18,2009-01-19,1979969409,782.6,42.3398,-71.0892,42.3647,-71.0542,122,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",28.9,24,25.8,24,1006.2,7,4.1,24,2.4,24,1.8,24,7.0,999.9,32.0, ,24.1, ,0.0,G,999.9,101000
19,2009-01-20,1985404356,560.7,42.3429,-71.1003,42.3503,-71.081,88,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",23.2,24,14.4,24,1005.9,24,4.0,24,8.4,24,5.8,24,13.0,19.0,30.0, ,17.1, ,0.02,G,999.9,0
20,2009-01-21,2193474798,783.95,42.3429,-71.1003,42.3519,-71.0643,136,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",21.5,24,6.9,24,1013.2,24,11.3,24,10.0,24,7.2,24,13.0,20.0,26.1, ,17.1, ,0.0,G,999.9,0
21,2009-01-22,2434703638,919.0,42.3505,-71.1054,42.3503,-71.081,136,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",27.7,24,11.1,24,1016.9,24,15.0,24,10.0,24,5.4,24,12.0,24.1,41.0, ,17.1, ,0.0,G,999.9,0
22,2009-01-23,2544608508,828.65,42.2148,-71.033,42.3519,-71.0643,143,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",34.5,24,18.1,24,1015.5,24,13.6,24,9.9,24,1.8,24,7.0,14.0,55.9, ,19.9, ,0.0,G,999.9,0
23,2009-01-24,2593263047,866.65,42.3661,-71.0631,42.3644,-71.0661,181,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",38.9,24,20.7,24,1014.1,24,12.2,24,9.7,24,7.9,24,13.0,22.0,44.1, ,27.0, ,0.0,G,999.9,0
24,2009-01-25,2143351329,768.85,42.2148,-71.033,42.3647,-71.0542,135,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",22.4,24,2.9,24,1027.1,24,25.2,24,10.0,24,4.6,24,8.0,14.0,28.9, ,12.0, ,0.0,G,999.9,0
25,2009-01-26,1889162775,760.85,42.3519,-71.0643,42.3429,-71.1003,118,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",24.2,24,8.4,24,1029.9,24,27.9,24,10.0,24,3.9,24,6.0,999.9,28.0, ,19.9, ,0.0,G,999.9,0
26,2009-01-27,3042753404,973.5,42.3519,-71.0643,42.3647,-71.0542,172,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",28.2,24,14.9,24,1031.0,22,29.1,24,8.7,24,2.0,24,5.1,999.9,30.0, ,25.0, ,0.0,G,999.9,1000
27,2009-01-28,1867020605,564.7,42.2148,-71.033,42.3505,-71.1054,121,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",31.8,24,27.7,24,1013.4,12,14.7,24,3.3,24,3.3,24,13.0,22.0,39.9, ,24.1, ,0.32,G,999.9,111000
28,2009-01-29,2656653365,1210.45,42.3647,-71.0542,42.3505,-71.1054,124,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",31.0,24,17.5,24,1013.4,24,11.5,24,10.0,24,8.7,24,17.1,28.0,42.1, ,25.0, ,0.3,G,999.9,0
29,2009-01-30,2323702572,816.75,42.3519,-71.0643,42.3503,-71.081,165,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",27.5,24,18.6,24,1014.3,23,12.4,24,6.9,24,2.3,24,9.9,17.1,37.0, ,17.1, ,0.0,G,999.9,0
30,2009-01-31,3377052355,1023.65,42.3519,-71.0643,42.3661,-71.0631,212,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",25.1,24,7.5,24,1016.3,24,14.4,24,10.0,24,9.7,24,15.0,22.9,34.0, ,19.9, ,0.0,G,999.9,0
31,2009-02-01,1907862569,673.6,42.3519,-71.0551,42.3661,-71.0631,125,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",36.6,24,18.8,24,1015.1,24,13.2,24,10.0,24,5.5,24,14.0,20.0,55.0, ,21.9, ,0.0,G,999.9,0
32,2009-02-02,2075568051,792.35,42.3429,-71.1003,42.3429,-71.1003,103,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",43.5,24,29.1,24,1013.5,24,11.6,24,10.0,24,3.3,24,11.1,18.1,55.9, ,28.0, ,0.0,G,999.9,0
33,2009-02-03,2126491105,722.8,42.3647,-71.0542,42.3661,-71.0631,139,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",34.2,24,29.6,24,1011.6,8,7.7,24,4.3,24,8.1,24,12.0,19.0,43.0, ,30.0, ,0.01,G,999.9,111000
34,2009-02-04,1417354819,459.4,42.3588,-71.0707,42.3588,-71.0707,82,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",26.5,24,17.3,24,1016.5,15,12.3,24,6.0,24,4.9,24,8.9,999.9,30.2,*,17.6,*,0.08,G,999.9,101000
35,2009-02-05,2045705910,718.45,42.3647,-71.0542,42.3661,-71.0631,123,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",18.5,24,2.4,24,1026.4,24,24.4,24,10.0,24,8.7,24,15.0,27.0,27.0, ,14.0, ,0.01,G,999.9,0
36,2009-02-06,2549189176,867.55,42.2148,-71.033,42.3661,-71.0631,140,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",22.6,24,5.4,24,1030.4,24,28.4,24,10.0,24,3.1,24,6.0,999.9,35.1, ,14.0, ,0.0,G,999.9,0
37,2009-02-07,2398436535,784.95,42.3559,-71.055,42.3661,-71.0631,164,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",30.1,24,19.4,24,1026.6,23,24.7,24,9.3,24,1.7,24,7.0,999.9,55.0, ,14.0, ,0.0,G,999.9,0
38,2009-02-08,2174212825,751.7,42.3661,-71.0631,42.2148,-71.033,119,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",52.9,24,35.3,24,1016.9,24,15.1,24,9.8,24,7.8,24,14.0,22.9,61.0, ,45.0, ,0.0,G,999.9,10000
39,2009-02-09,2255465078,828.2,42.3661,-71.0631,42.3661,-71.0631,111,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",38.4,24,21.0,24,1027.7,24,25.8,24,10.0,24,3.5,24,9.9,999.9,48.0, ,25.0, ,0.04,G,999.9,0
40,2009-02-10,2440789152,741.95,42.3398,-71.0892,42.3647,-71.0542,133,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",40.9,24,30.5,24,1025.3,22,23.2,24,10.0,24,1.1,24,7.0,999.9,55.9, ,30.9, ,0.0,G,999.9,0
41,2009-02-11,2986827511,925.95,42.3505,-71.1054,42.3503,-71.081,155,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",52.7,24,43.8,24,1014.3,24,12.5,24,8.7,24,3.3,24,13.0,22.0,69.1, ,39.9, ,0.0,G,999.9,0
42,2009-02-12,2777123647,920.25,42.3644,-71.0661,42.3398,-71.0892,169,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",54.5,24,37.1,24,999.2,24,997.4,24,9.7,24,14.3,24,26.0,39.0,60.1, ,48.0, ,0.05,G,999.9,10000
43,2009-02-13,2363971907,727.65,42.3644,-71.0661,42.3505,-71.1054,154,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",42.9,24,25.6,24,1010.8,24,9.0,24,10.0,24,11.4,24,22.0,32.1,48.0,*,39.9,*,0.01,G,999.9,0
44,2009-02-14,2265460410,912.15,42.3661,-71.0631,42.3644,-71.0661,158,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",35.4,24,17.6,24,1015.5,24,13.5,24,10.0,24,3.7,24,8.9,15.0,41.0, ,26.1, ,0.0,G,999.9,0
45,2009-02-15,2549246286,935.0,42.3505,-71.1054,42.3661,-71.0631,192,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",34.6,24,19.6,24,1017.6,21,15.1,24,9.4,24,5.9,24,11.1,20.0,42.1, ,28.0, ,0.0,G,999.9,1000
